doc_id,source,category,file_path,file_name,status,priority
msc_msc_msc_111_20_1_nomination_for_the_position_of_vice_chair_of_the_committee_secretariat_24beae39,MSC,GENERAL,data/raw_pdfs/MSC/MSC 111-20-1 - Nomination for the position of Vice-Chair of the Committee (Secretariat).pdf,MSC 111-20-1 - Nomination for the position of Vice-Chair of the Committee (Secretariat).pdf,pending,3
mepc_mepc_mepc_84_4_6_proposed_measures_for_managing_the_exceptional_uptake_of_untreated_ballast_water_used_in_s_china_088206f8,MEPC,GENERAL,data/raw_pdfs/MEPC/MEPC 84-4-6 - Proposed measures for managing the exceptional uptake of untreated ballast water used in s... (China).pdf,MEPC 84-4-6 - Proposed measures for managing the exceptional uptake of untreated ballast water used in s... (China).pdf,pending,3
mepc_mepc_mepc_84_inf_29_empirical_results_from_bypass_operations_and_decontamination_procedures_under_challenging_republic_of_korea_094e4f41,MEPC,GENERAL,data/raw_pdfs/MEPC/MEPC 84-INF.29 - Empirical results from bypass operations and decontamination procedures under challenging... (Republic of Korea).pdf,MEPC 84-INF.29 - Empirical results from bypass operations and decontamination procedures under challenging... (Republic of Korea).pdf,pending,3
mepc_mepc_mepc_84_7_47_comments_on_the_report_of_the_third_meeting_of_gesamp_lca_working_group_pacific_environment_and_c_970adec5,MEPC,GENERAL,data/raw_pdfs/MEPC/MEPC 84-7-47 - Comments on the report of the third meeting of GESAMP-LCA Working Group (Pacific Environment and C...).pdf,MEPC 84-7-47 - Comments on the report of the third meeting of GESAMP-LCA Working Group (Pacific Environment and C...).pdf,pending,3
dnv_dnv_class_2026_04_dnv_si_0551_3ad8ede5,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-SI-0551.pdf,DNV-SI-0551.pdf,pending,3
dnv_dnv_class_2026_04_dnv_ru_uwt_pt6_e87ca473,DNV,RULES,data/raw_pdfs/dnv-class_2026-04/DNV-RU-UWT-Pt6.pdf,DNV-RU-UWT-Pt6.pdf,pending,3
dnv_dnv_class_2026_04_dnv_si_0552_ef163b32,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-SI-0552.pdf,DNV-SI-0552.pdf,pending,3
msc_msc_msc_111_11_1_analysis_of_financial_costs_associated_with_the_lrit_system_brazil_2810e9d2,MSC,GENERAL,data/raw_pdfs/MSC/MSC 111-11-1 - Analysis of financial costs associated with the LRIT system (Brazil).pdf,MSC 111-11-1 - Analysis of financial costs associated with the LRIT system (Brazil).pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_eu_ro_mr_83c1fb1b,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-EU-RO-MR.pdf,DNV-CP-EU-RO-MR.pdf,pending,3
kr_kr_rules_2025_849198c2,KR,GENERAL,data/raw_pdfs/KR Rules/직류배전시스템 지침_2025.pdf,직류배전시스템 지침_2025.pdf,pending,3
mepc_mepc_mepc_84_inf_33_information_on_the_operational_feasibility_of_proposed_inlet_density_criteria_under_object_global_testnet_088e4371,MEPC,GENERAL,data/raw_pdfs/MEPC/MEPC 84-INF.33 - Information on the operational feasibility of proposed inlet density criteria under object... (Global TestNet).pdf,MEPC 84-INF.33 - Information on the operational feasibility of proposed inlet density criteria under object... (Global TestNet).pdf,pending,3
kr_kr_rules_2017_d193e100,KR,GENERAL,data/raw_pdfs/KR Rules/상가대 지침_2017.pdf,상가대 지침_2017.pdf,pending,3
msc_msc_msc_111_inf_17_information_on_ai_based_shipboard_maintenance_support_technologies_in_the_context_of_marit_republic_of_korea_0cef3205,MSC,GENERAL,data/raw_pdfs/MSC/MSC 111-INF.17 - Information on AI-based shipboard maintenance support technologies in the context of marit... (Republic of Korea).pdf,MSC 111-INF.17 - Information on AI-based shipboard maintenance support technologies in the context of marit... (Republic of Korea).pdf,pending,3
mepc_mepc_mepc_84_7_42_evidence_for_the_need_of_robust_comprehensive_and_global_iluc_risk_assessment_based_on_a_pacific_environment_csc_ae512ec1,MEPC,GENERAL,"data/raw_pdfs/MEPC/MEPC 84-7-42 - Evidence for the need of robust, comprehensive, and global ILUC risk assessment based on a... (Pacific Environment, CSC...).pdf","MEPC 84-7-42 - Evidence for the need of robust, comprehensive, and global ILUC risk assessment based on a... (Pacific Environment, CSC...).pdf",pending,3
kr_kr_rules_24_2023_b67232b2,KR,GENERAL,data/raw_pdfs/KR Rules/액화석유가스를 연료로 사용하는 24미터 미만의 선박 잠정지침_2023.pdf,액화석유가스를 연료로 사용하는 24미터 미만의 선박 잠정지침_2023.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0149_2c2639fa,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0149.pdf,DNV-CP-0149.pdf,pending,3
dnv_dnv_class_2026_04_dnv_ru_gen_0587_c600a9d8,DNV,RULES,data/raw_pdfs/dnv-class_2026-04/DNV-RU-GEN-0587.pdf,DNV-RU-GEN-0587.pdf,pending,1
dnv_dnv_class_2026_04_dnv_cp_0148_b3e48603,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0148.pdf,DNV-CP-0148.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0461_9f663b94,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0461.pdf,DNV-CP-0461.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0161_c66e43fc,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0161.pdf,DNV-CP-0161.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0621_4fdd15f6,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0621.pdf,DNV-CP-0621.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0624_7068e1e8,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0624.pdf,DNV-CP-0624.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0212_f6c18c2d,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0212.pdf,DNV-CP-0212.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0502_63a115f6,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0502.pdf,DNV-CP-0502.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0627_0b78b068,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0627.pdf,DNV-CP-0627.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0628_53f5aae6,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0628.pdf,DNV-CP-0628.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0626_f82cc698,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0626.pdf,DNV-CP-0626.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0642_cf55f0fd,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0642.pdf,DNV-CP-0642.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0140_b40a3e25,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0140.pdf,DNV-CP-0140.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0623_9e0f160a,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0623.pdf,DNV-CP-0623.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0213_ee196f54,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0213.pdf,DNV-CP-0213.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0409_55813029,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0409.pdf,DNV-CP-0409.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0406_135abfb9,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0406.pdf,DNV-CP-0406.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0282_85c46cad,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0282.pdf,DNV-CP-0282.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0408_b937f799,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0408.pdf,DNV-CP-0408.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0637_80a0ea31,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0637.pdf,DNV-CP-0637.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0214_6e5c37e8,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CG-0214.pdf,DNV-CG-0214.pdf,pending,3
msc_msc_msc_111_5_report_of_the_intersessional_mass_working_group_secretariat_5efdef3f,MSC,GENERAL,data/raw_pdfs/MSC/MSC 111-5 - Report of the Intersessional MASS Working Group (Secretariat).pdf,MSC 111-5 - Report of the Intersessional MASS Working Group (Secretariat).pdf,pending,3
mepc_mepc_mepc_84_6_3_recalculation_of_cii_reference_line_and_rating_boundaries_for_cruise_passenger_ships_secretariat_a9cc4e4e,MEPC,RULES,data/raw_pdfs/MEPC/MEPC 84-6-3 - Recalculation of CII reference line and rating boundaries for cruise passenger ships (Secretariat).pdf,MEPC 84-6-3 - Recalculation of CII reference line and rating boundaries for cruise passenger ships (Secretariat).pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0622_0f102e40,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0622.pdf,DNV-CP-0622.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0397_e533bdd0,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0397.pdf,DNV-CP-0397.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0107_9e17ec61,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0107.pdf,DNV-CP-0107.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0255_20cad3e6,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0255.pdf,DNV-CP-0255.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0638_c0e36f7a,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0638.pdf,DNV-CP-0638.pdf,pending,3
