doc_id,source,category,file_path,file_name,status,priority,folder,pilot_status
msc_msc_msc_111_15_1_rev_1_proposed_modification_to_the_draft_revised_mandatory_ship_reporting_system_in_the_adriati_italy_and_montenegro_6a3de093,MSC,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/MSC/MSC 111-15-1-Rev.1 - Proposed modification to the draft revised mandatory ship reporting system  In the Adriati... (Italy and Montenegro).pdf,MSC 111-15-1-Rev.1 - Proposed modification to the draft revised mandatory ship reporting system  In the Adriati... (Italy and Montenegro).pdf,pending,3,MSC,pending
msc_msc_msc_111_15_2_comments_on_document_msc_11115_imso_daae4fd3,MSC,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/MSC/MSC 111-15-2 - Comments on document MSC 11115 (IMSO).pdf,MSC 111-15-2 - Comments on document MSC 11115 (IMSO).pdf,pending,3,MSC,pending
msc_msc_msc_111_15_3_comments_on_document_msc_11115_united_states_7b262619,MSC,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/MSC/MSC 111-15-3 - Comments on document MSC 11115 (United States).pdf,MSC 111-15-3 - Comments on document MSC 11115 (United States).pdf,pending,3,MSC,pending
msc_msc_msc_111_15_4_comments_on_document_msc_11115_united_states_36b006af,MSC,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/MSC/MSC 111-15-4 - Comments on document MSC 11115 (United States).pdf,MSC 111-15-4 - Comments on document MSC 11115 (United States).pdf,pending,3,MSC,pending
msc_msc_msc_111_15_5_comment_on_document_msc_11115_regarding_amendments_to_the_ship_reporting_systems_soundrep_russian_federation_9578b974,MSC,RULES,C:/projects/MaritimeRAG/data/raw_pdfs/MSC/MSC 111-15-5 - Comment on document MSC 11115 regarding amendments to the ship reporting systems SOUNDREP... (Russian Federation).pdf,MSC 111-15-5 - Comment on document MSC 11115 regarding amendments to the ship reporting systems SOUNDREP... (Russian Federation).pdf,pending,3,MSC,pending
msc_msc_msc_111_16_report_of_the_thirteenth_session_of_the_sub_committee_secretariat_7be088ed,MSC,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/MSC/MSC 111-16 - Report of the thirteenth session of the Sub-Committee (Secretariat).pdf,MSC 111-16 - Report of the thirteenth session of the Sub-Committee (Secretariat).pdf,pending,3,MSC,pending
msc_msc_msc_111_17_report_of_the_eleventh_session_of_the_sub_committee_secretariat_c5c1b74c,MSC,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/MSC/MSC 111-17 - Report of the eleventh session of the Sub-Committee (Secretariat).pdf,MSC 111-17 - Report of the eleventh session of the Sub-Committee (Secretariat).pdf,pending,3,MSC,pending
msc_msc_msc_111_18_committee_s_method_of_work_review_to_consider_the_decisions_of_c_134_secretariat_a721a814,MSC,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/MSC/MSC 111-18 - Committee's method of work review to consider the decisions of C 134 (Secretariat).pdf,MSC 111-18 - Committee's method of work review to consider the decisions of C 134 (Secretariat).pdf,pending,3,MSC,pending
msc_msc_msc_111_19_proposal_for_a_new_output_to_amend_paragraph_4_6_3_1_of_the_lsa_code_to_remove_ambiguity_i_bahamas_the_marshall_isl_25488703,MSC,GENERAL,"C:/projects/MaritimeRAG/data/raw_pdfs/MSC/MSC 111-19 - Proposal for a new output to amend paragraph 4.6.3.1 of the LSA Code to remove ambiguity i... (Bahamas, the Marshall Isl...).pdf","MSC 111-19 - Proposal for a new output to amend paragraph 4.6.3.1 of the LSA Code to remove ambiguity i... (Bahamas, the Marshall Isl...).pdf",pending,3,MSC,pending
msc_msc_msc_111_19_1_proposal_for_a_new_output_to_amend_paragraph_3_5_4_andtable_19_1_of_solas_regulation_ii_21_united_kingdom_and_iacs_ae9c146c,MSC,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/MSC/MSC 111-19-1 - Proposal for a new output to amend paragraph 3.5.4 andtable 19.1 of SOLAS regulation II-21... (United Kingdom and IACS).pdf,MSC 111-19-1 - Proposal for a new output to amend paragraph 3.5.4 andtable 19.1 of SOLAS regulation II-21... (United Kingdom and IACS).pdf,pending,3,MSC,pending
msc_msc_msc_111_19_2_proposal_for_a_new_output_for_enhancing_testing_standards_for_life_saving_equipment_brazil_d069937f,MSC,STANDARD,C:/projects/MaritimeRAG/data/raw_pdfs/MSC/MSC 111-19-2 - Proposal for a new output for enhancing testing standards for life-saving equipment (Brazil).pdf,MSC 111-19-2 - Proposal for a new output for enhancing testing standards for life-saving equipment (Brazil).pdf,pending,3,MSC,pending
msc_msc_msc_111_19_3_proposal_for_a_new_output_to_amend_the_recommendations_on_the_safe_use_of_pesticides_in_sh_argentina_bahamas_finla_ca4c37ae,MSC,GENERAL,"C:/projects/MaritimeRAG/data/raw_pdfs/MSC/MSC 111-19-3 - Proposal for a new output to amend the Recommendations on the safe use of pesticides in sh... (Argentina, Bahamas, Finla...).pdf","MSC 111-19-3 - Proposal for a new output to amend the Recommendations on the safe use of pesticides in sh... (Argentina, Bahamas, Finla...).pdf",pending,3,MSC,pending
msc_msc_msc_111_19_4_proposal_for_a_new_output_to_revise_msc_mepc_3circ_4rev_1_bahamas_canada_marshall_685fc745,MSC,GENERAL,"C:/projects/MaritimeRAG/data/raw_pdfs/MSC/MSC 111-19-4 - Proposal for a new output to revise MSC-MEPC.3Circ.4Rev.1 (Bahamas, Canada, Marshall...).pdf","MSC 111-19-4 - Proposal for a new output to revise MSC-MEPC.3Circ.4Rev.1 (Bahamas, Canada, Marshall...).pdf",pending,3,MSC,pending
msc_msc_msc_111_19_5_proposal_of_a_new_output_for_the_development_of_non_mandatory_safety_guidelines_for_non_se_russian_federation_a1a05a7f,MSC,RULES,C:/projects/MaritimeRAG/data/raw_pdfs/MSC/MSC 111-19-5 - Proposal of a new output for the development of non-mandatory safety guidelines for non-se... (Russian Federation).pdf,MSC 111-19-5 - Proposal of a new output for the development of non-mandatory safety guidelines for non-se... (Russian Federation).pdf,pending,3,MSC,pending
msc_msc_msc_111_19_6_revision_of_the_revised_guidelines_for_the_onboard_operational_use_of_shipborne_automatic_austria_belgium_bulgari_5b0856eb,MSC,GUIDE,"C:/projects/MaritimeRAG/data/raw_pdfs/MSC/MSC 111-19-6 - Revision of the Revised guidelines for the onboard operational use of shipborne automatic... (Austria, Belgium, Bulgari...).pdf","MSC 111-19-6 - Revision of the Revised guidelines for the onboard operational use of shipborne automatic... (Austria, Belgium, Bulgari...).pdf",pending,3,MSC,pending
msc_msc_msc_111_19_7_proposal_on_moving_forward_with_the_start_of_work_under_the_output_development_of_guidelin_russian_federation_15bfd3b8,MSC,RULES,C:/projects/MaritimeRAG/data/raw_pdfs/MSC/MSC 111-19-7 - Proposal on moving forward with the start of work under the output Development of guidelin... (Russian Federation).pdf,MSC 111-19-7 - Proposal on moving forward with the start of work under the output Development of guidelin... (Russian Federation).pdf,pending,3,MSC,pending
msc_msc_msc_111_19_8_comments_on_document_msc_111195_united_states_dc593f13,MSC,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/MSC/MSC 111-19-8 - Comments on document MSC 111195 (United States).pdf,MSC 111-19-8 - Comments on document MSC 111195 (United States).pdf,pending,3,MSC,pending
msc_msc_msc_111_2_outcome_of_tc_75_c_134_and_mepces_2_secretariat_4d11ed7f,MSC,GENERAL,"C:/projects/MaritimeRAG/data/raw_pdfs/MSC/MSC 111-2 - Outcome of TC 75, C 134 and MEPCES.2 (Secretariat).pdf","MSC 111-2 - Outcome of TC 75, C 134 and MEPCES.2 (Secretariat).pdf",pending,3,MSC,pending
msc_msc_msc_111_2_1_outcome_of_c_135_and_a_34_secretariat_7e1e2438,MSC,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/MSC/MSC 111-2-1 - Outcome of C 135 and A 34 (Secretariat).pdf,MSC 111-2-1 - Outcome of C 135 and A 34 (Secretariat).pdf,pending,3,MSC,pending
msc_msc_msc_111_2_3_draft_guidance_on_training_and_certification_of_seafarers_affected_by_the_situation_in_the_secretariat_d0c22405,MSC,GUIDANCE,C:/projects/MaritimeRAG/data/raw_pdfs/MSC/MSC 111-2-3 - Draft guidance on training and certification of seafarers affected by the situation in the... (Secretariat).pdf,MSC 111-2-3 - Draft guidance on training and certification of seafarers affected by the situation in the... (Secretariat).pdf,pending,3,MSC,pending
