doc_id,source,category,file_path,file_name,status,priority
kr_kr_rules_2023_6ac72586,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/고정식 해양구조물 규칙_2023.pdf,고정식 해양구조물 규칙_2023.pdf,pending,3
kr_kr_rules_2022_9ec877f3,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/기술규칙 해석사례집_국문_2022.pdf,기술규칙 해석사례집_국문_2022.pdf,pending,3
kr_kr_rules_2014_5be2e49c,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/대형요트 지침_2014.pdf,대형요트 지침_2014.pdf,pending,3
kr_kr_rules_2021_79ee1ebf,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/복합재료 프로펠러 지침_2021.pdf,복합재료 프로펠러 지침_2021.pdf,pending,3
kr_kr_rules_2022_bff5d6ac,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/부선예항검사 규칙_2022.pdf,부선예항검사 규칙_2022.pdf,pending,3
kr_kr_rules_2023_859b28c9,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/부유식 생산구조물 지침_2023.pdf,부유식 생산구조물 지침_2023.pdf,pending,3
kr_kr_rules_2019_38118f87,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/부유식 액화가스 생산구조물 지침_2019.pdf,부유식 액화가스 생산구조물 지침_2019.pdf,pending,3
kr_kr_rules_2019_4651194a,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/부유식 액화가스 재기화구조물 지침_2019.pdf,부유식 액화가스 재기화구조물 지침_2019.pdf,pending,3
kr_kr_rules_2018_5852ebea,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/부유식 액화천연가스 벙커링 터미널 지침_2018.pdf,부유식 액화천연가스 벙커링 터미널 지침_2018.pdf,pending,3
kr_kr_rules_2024_3411aaea,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/부유식 해상구조물 기준_2024.pdf,부유식 해상구조물 기준_2024.pdf,pending,3
kr_kr_rules_2025_41f5a260,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/빙해운항선박 지침_2025.pdf,빙해운항선박 지침_2025.pdf,pending,3
kr_kr_rules_2017_d193e100,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/상가대 지침_2017.pdf,상가대 지침_2017.pdf,pending,3
