doc_id,source,category,file_path,file_name,status,priority,folder,pilot_status
kr_kr_rules_2_2025_6bdd7355,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/2편_2025.pdf,2편_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_13_2025_50b24c68,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/13편_2025.pdf,13편_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_14_2025_d70e1b60,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/14편_2025.pdf,14편_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_circular_k_total_2026_d5302491,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/Circular (K) Total_2026.pdf,Circular (K) Total_2026.pdf,pending,3,kr rules,pending
kr_kr_rules_2025_8b225898,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/제조법 및 형식승인 등에 관한 지침_2025.pdf,제조법 및 형식승인 등에 관한 지침_2025.pdf,pending,3,,
kr_kr_rules_2025_6f9f069b,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/선급부호 안내서_2025.pdf,선급부호 안내서_2025.pdf,pending,3,,
kr_kr_rules_15_2025_6bbdac51,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/15편_2025.pdf,15편_2025.pdf,pending,3,kr rules,pending
kr_1_2025,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/1편_2025.pdf,1편_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_3_2025_d82903a5,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/3편_2025.pdf,3편_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_11_2014_1a998cbe,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/11편_2014.pdf,11편_2014.pdf,pending,3,kr rules,pending
kr_kr_rules_7_2025_2f2d6373,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/7편_2025.pdf,7편_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_2025_41f5a260,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/빙해운항선박 지침_2025.pdf,빙해운항선박 지침_2025.pdf,pending,3,,
kr_kr_rules_12_2014_d1db5288,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/12편_2014.pdf,12편_2014.pdf,pending,3,kr rules,pending
kr_kr_rules_5_2025_9f6ccf37,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/5편_2025.pdf,5편_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_7_5_6_2025_482e9b2b,KR,GENERAL,"C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/7편(5,6장)_2025.pdf","7편(5,6장)_2025.pdf",pending,3,kr rules,pending
kr_kr_rules_9_2025_32c5c884,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/9편_2025.pdf,9편_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_4_2025_b57c2e37,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/4편_2025.pdf,4편_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_2025_57bac298,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/고속경구조선 규칙_2025.pdf,고속경구조선 규칙_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_6_2025_ad577ae8,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/6편_2025.pdf,6편_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_2018_24298276,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/해양레저선박 지침_2018.pdf,해양레저선박 지침_2018.pdf,pending,3,,
kr_kr_rules_2014_5be2e49c,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/대형요트 지침_2014.pdf,대형요트 지침_2014.pdf,pending,3,,
kr_kr_rules_2025_6b416cae,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/저인화점연료선박 규칙_2025.pdf,저인화점연료선박 규칙_2025.pdf,pending,3,,
