doc_id,source,category,file_path,file_name,status,priority,folder,pilot_status
kr_kr_rules_2_2025_6bdd7355,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/2편_2025.pdf,2편_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_3_2025_d82903a5,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/3편_2025.pdf,3편_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_4_2025_b57c2e37,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/4편_2025.pdf,4편_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_5_2025_9f6ccf37,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/5편_2025.pdf,5편_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_6_2025_ad577ae8,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/6편_2025.pdf,6편_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_7_5_6_2025_482e9b2b,KR,GENERAL,"C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/7편(5,6장)_2025.pdf","7편(5,6장)_2025.pdf",pending,3,kr rules,pending
kr_kr_rules_7_2025_2f2d6373,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/7편_2025.pdf,7편_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_8_2025_7604a4ee,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/8편_2025.pdf,8편_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_9_2025_32c5c884,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/9편_2025.pdf,9편_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_cng_2011_64616c6c,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/CNG 산적운반선 지침_2011.pdf,CNG 산적운반선 지침_2011.pdf,pending,3,kr rules,pending
kr_kr_rules_circular_k_total_2026_d5302491,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/Circular (K) Total_2026.pdf,Circular (K) Total_2026.pdf,pending,3,kr rules,pending
kr_kr_rules_frp_2020_d90e0b9c,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/FRP선 규칙_2020.pdf,FRP선 규칙_2020.pdf,pending,3,kr rules,pending
kr_kr_rules_guidance_for_strength_assessment_of_membrane_type_lng_tanks_under_sloshing_loads_2022_0ccd266a,KR,GUIDANCE,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/Guidance for Strength Assessment of Membrane-Type LNG Tanks under Sloshing Loads_2022.pdf,Guidance for Strength Assessment of Membrane-Type LNG Tanks under Sloshing Loads_2022.pdf,pending,3,kr rules,pending
kr_kr_rules_new_notation_kor_0_3e1593c1,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/New Notation(Kor)(0).pdf,New Notation(Kor)(0).pdf,pending,3,kr rules,pending
kr_kr_rules_wig_2019_0bbbbcfd,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/WIG선 기준_2019.pdf,WIG선 기준_2019.pdf,pending,3,kr rules,pending
kr_kr_rules_2023_f0917400,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/감염병 확산 방지 설계 선박 지침_2023.pdf,감염병 확산 방지 설계 선박 지침_2023.pdf,pending,3,kr rules,pending
kr_kr_rules_2025_eb3fab6e,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/강재부선 규칙_2025.pdf,강재부선 규칙_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_2025_57bac298,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/고속경구조선 규칙_2025.pdf,고속경구조선 규칙_2025.pdf,pending,3,kr rules,pending
dnv_dnv_class_2026_04_dnv_cp_0031_0c6d84d9,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0031.pdf,DNV-CP-0031.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_ru_ou_0102_415c4c67,DNV,RULES,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-RU-OU-0102.pdf,DNV-RU-OU-0102.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cg_0138_32976fa7,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0138.pdf,DNV-CG-0138.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_ru_hslc_pt3_6c6b6333,DNV,RULES,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-RU-HSLC-Pt3.pdf,DNV-RU-HSLC-Pt3.pdf,pending,3,dnv-class_2026-04,pending
