doc_id,source,category,file_path,file_name,status,priority,folder,pilot_status
abs_abs_rules_attachments_automaticandremotecontrolmonitoringforvesselsinportnov2010_26312d3a,ABS,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/ABS rules/Attachments_AutomaticandRemoteControlMonitoringforVesselsinPortnov2010.pdf,Attachments_AutomaticandRemoteControlMonitoringforVesselsinPortnov2010.pdf,pending,3,abs rules,pending
abs_abs_rules_attachments_automaticorremotecontrolandmonitoringformachineryandsystemsotherthanpropulsionjul2024_f2f469bc,ABS,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/ABS rules/Attachments_AutomaticorRemoteControlandMonitoringforMachineryandSystemsotherthanPropulsionjul2024.pdf,Attachments_AutomaticorRemoteControlandMonitoringforMachineryandSystemsotherthanPropulsionjul2024.pdf,pending,3,abs rules,pending
abs_abs_rules_attachments_conditionsofclassificationpart1ashipsjan2026_30d8152e,ABS,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/ABS rules/Attachments_ConditionsofClassificationPart1AShipsjan2026.pdf,Attachments_ConditionsofClassificationPart1AShipsjan2026.pdf,pending,3,abs rules,pending
abs_abs_rules_guidancenotesonsmartfunctionimplementation_v1_b275249c,ABS,GUIDANCE,C:/projects/MaritimeRAG/data/raw_pdfs/ABS rules/GuidanceNotesonSmartFunctionImplementation-v1.pdf,GuidanceNotesonSmartFunctionImplementation-v1.pdf,pending,3,abs rules,pending
abs_abs_rules_guideforsmartfunctionsformarinevesselsandoffshoreunits_v8_bbfd9d9e,ABS,GUIDE,C:/projects/MaritimeRAG/data/raw_pdfs/ABS rules/GuideforSmartFunctionsforMarineVesselsandOffshoreUnits-v8.pdf,GuideforSmartFunctionsforMarineVesselsandOffshoreUnits-v8.pdf,pending,3,abs rules,pending
abs_abs_rules_requirementsforautonomousandremotecontrolfunctions_v4_1d89b7bb,ABS,REQUIREMENT,C:/projects/MaritimeRAG/data/raw_pdfs/ABS rules/RequirementsforAutonomousandRemoteControlFunctions-v4.pdf,RequirementsforAutonomousandRemoteControlFunctions-v4.pdf,pending,3,abs rules,pending
abs_abs_rules_survey_after_construction_part_7_jan_2026_11_e6515c45,ABS,RULES,C:/projects/MaritimeRAG/data/raw_pdfs/ABS rules/Survey-After-Construction---Part-7-jan-2026 (11).pdf,Survey-After-Construction---Part-7-jan-2026 (11).pdf,pending,3,abs rules,pending
abs_abs_rules_mvr_jan_2026_full_set_mvr_part_3_jan26_e16c2fa7,ABS,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/ABS rules/mvr-jan-2026-full-set/mvr-part-3-jan26.pdf,mvr-part-3-jan26.pdf,pending,3,abs rules,pending
abs_abs_rules_mvr_jan_2026_full_set_mvr_part_4_jan26_495b4746,ABS,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/ABS rules/mvr-jan-2026-full-set/mvr-part-4-jan26.pdf,mvr-part-4-jan26.pdf,pending,3,abs rules,pending
abs_abs_rules_mvr_jan_2026_full_set_mvr_part_5a5b_jan25_600acf0a,ABS,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/ABS rules/mvr-jan-2026-full-set/mvr-part-5a5b-jan25.pdf,mvr-part-5a5b-jan25.pdf,pending,3,abs rules,pending
abs_abs_rules_mvr_jan_2026_full_set_mvr_part_5c1_jan26_a4ef6929,ABS,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/ABS rules/mvr-jan-2026-full-set/mvr-part-5c1-jan26.pdf,mvr-part-5c1-jan26.pdf,pending,3,abs rules,pending
abs_abs_rules_mvr_jan_2026_full_set_mvr_part_5c2_jan26_c377c623,ABS,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/ABS rules/mvr-jan-2026-full-set/mvr-part-5c2-jan26.pdf,mvr-part-5c2-jan26.pdf,pending,3,abs rules,pending
abs_abs_rules_mvr_jan_2026_full_set_mvr_part_5d_jan26_1b581284,ABS,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/ABS rules/mvr-jan-2026-full-set/mvr-part-5d-jan26.pdf,mvr-part-5d-jan26.pdf,pending,3,abs rules,pending
abs_abs_rules_mvr_jan_2026_full_set_mvr_part_6_jan26_29f89534,ABS,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/ABS rules/mvr-jan-2026-full-set/mvr-part-6-jan26.pdf,mvr-part-6-jan26.pdf,pending,3,abs rules,pending
lr_notice_no_1_2025,LR,RULES,"C:/projects/MaritimeRAG/data/raw_pdfs/LR Rules/Notice No.1 Rules and Regulations for the Classification of Ships, July 2025.pdf","Notice No.1 Rules and Regulations for the Classification of Ships, July 2025.pdf",pending,3,lr rules,pending
kr_kr_rules_10_2025_2511c19b,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/10편_2025.pdf,10편_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_11_2014_1a998cbe,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/11편_2014.pdf,11편_2014.pdf,pending,3,kr rules,pending
kr_kr_rules_12_2014_d1db5288,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/12편_2014.pdf,12편_2014.pdf,pending,3,kr rules,pending
kr_kr_rules_13_2025_50b24c68,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/13편_2025.pdf,13편_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_14_2025_d70e1b60,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/14편_2025.pdf,14편_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_15_2025_6bbdac51,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/15편_2025.pdf,15편_2025.pdf,pending,3,kr rules,pending
kr_1_2025,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/1편_2025.pdf,1편_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_2_2025_6bdd7355,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/2편_2025.pdf,2편_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_3_2025_d82903a5,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/3편_2025.pdf,3편_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_4_2025_b57c2e37,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/4편_2025.pdf,4편_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_5_2025_9f6ccf37,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/5편_2025.pdf,5편_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_6_2025_ad577ae8,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/6편_2025.pdf,6편_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_7_5_6_2025_482e9b2b,KR,GENERAL,"C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/7편(5,6장)_2025.pdf","7편(5,6장)_2025.pdf",pending,3,kr rules,pending
kr_kr_rules_7_2025_2f2d6373,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/7편_2025.pdf,7편_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_8_2025_7604a4ee,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/8편_2025.pdf,8편_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_9_2025_32c5c884,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/9편_2025.pdf,9편_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_cng_2011_64616c6c,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/CNG 산적운반선 지침_2011.pdf,CNG 산적운반선 지침_2011.pdf,pending,3,kr rules,pending
kr_kr_rules_circular_k_total_2026_d5302491,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/Circular (K) Total_2026.pdf,Circular (K) Total_2026.pdf,pending,3,kr rules,pending
kr_kr_rules_frp_2020_d90e0b9c,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/FRP선 규칙_2020.pdf,FRP선 규칙_2020.pdf,pending,3,kr rules,pending
kr_kr_rules_guidance_for_strength_assessment_of_membrane_type_lng_tanks_under_sloshing_loads_2022_0ccd266a,KR,GUIDANCE,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/Guidance for Strength Assessment of Membrane-Type LNG Tanks under Sloshing Loads_2022.pdf,Guidance for Strength Assessment of Membrane-Type LNG Tanks under Sloshing Loads_2022.pdf,pending,3,kr rules,pending
kr_kr_rules_new_notation_kor_0_3e1593c1,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/New Notation(Kor)(0).pdf,New Notation(Kor)(0).pdf,pending,3,kr rules,pending
kr_kr_rules_wig_2019_0bbbbcfd,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/WIG선 기준_2019.pdf,WIG선 기준_2019.pdf,pending,3,kr rules,pending
kr_kr_rules_2023_f0917400,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/감염병 확산 방지 설계 선박 지침_2023.pdf,감염병 확산 방지 설계 선박 지침_2023.pdf,pending,3,kr rules,pending
kr_kr_rules_2025_eb3fab6e,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/강재부선 규칙_2025.pdf,강재부선 규칙_2025.pdf,pending,3,kr rules,pending
kr_kr_rules_2025_57bac298,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/고속경구조선 규칙_2025.pdf,고속경구조선 규칙_2025.pdf,pending,3,kr rules,pending
dnv_dnv_class_2026_04_dnv_cp_0031_0c6d84d9,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0031.pdf,DNV-CP-0031.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_ru_ou_0102_415c4c67,DNV,RULES,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-RU-OU-0102.pdf,DNV-RU-OU-0102.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cg_0138_32976fa7,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0138.pdf,DNV-CG-0138.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_ru_hslc_pt3_6c6b6333,DNV,RULES,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-RU-HSLC-Pt3.pdf,DNV-RU-HSLC-Pt3.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cg_0051_ab7613c3,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0051.pdf,DNV-CG-0051.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0144_b6c7bc6a,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0144.pdf,DNV-CP-0144.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0425_5a9215d4,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0425.pdf,DNV-CP-0425.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0483_7056201c,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0483.pdf,DNV-CP-0483.pdf,pending,3,dnv-class_2026-04,pending
