publisher,document_family,found,document_count,example_files
IMO,MARPOL / Annex VI,True,8,MEPC 84-14 - Proposal for a new output to amend regulation 12 of MARPOL Annex VI to prohibit the reintr... (China).pdf | MEPC 84-3-1 - Amendments to MARPOL Annex VI (Secretariat).pdf | MEPC 84-3 - Amendments to MARPOL Annex VI (Secretariat).pdf | MEPC 84-6-21 - Further details of amendments to MARPOL Annex VI for the SEEMP-based approach (RINA).pdf | MEPC 84-8-8 - Enforcement of MARPOL Annex V (FOEI and CSC).pdf
IMO,SOLAS,True,4,MSC 111-19-1 - Proposal for a new output to amend paragraph 3.5.4 andtable 19.1 of SOLAS regulation II-21... (United Kingdom and IACS).pdf | MSC 111-3-3 - Comments on document MSC 1113 regarding the draft amendments to  SOLAS regulation V19 rela... (Republic of Korea).pdf | MSC 111-3 - Amendments to the 1974 SOLAS Convention and associated instruments (Secretariat).pdf | MSC 111-6 - Proposal for amendments of SOLAS regulation II-156 and preamble of the IGF Code (Republic of Korea and SIG...).pdf
IMO,COLREG,False,0,
IMO,STCW,False,0,
IMO,BWM Convention,True,29,"MEPC 84-4-10 - Clarification and targeted amendments to BWM.2Circ.62 to ensure practical and ship-based c... (ICS, INTERTANKO, CLIA and...).pdf | MEPC 84-4-12 - Comments on document MEPC 8442 on amending regulation E-1 for a survey scheme and BWMS ins... (Republic of Korea).pdf | MEPC 84-4-13 - Proposal for converting the Interim guidance on the application of the BWM Convention to s... (Republic of Korea, United...).pdf | MEPC 84-4-14 - Proposal for testing requirements for type approval of major modifications to ballast wate... (Republic of Korea).pdf | MEPC 84-4-15 - Proposal for the clarification of the final total quantity (m³) recordedin the Ballast Wat... (Australia, Republic of Ko...).pdf"
IMO,IMO GHG Strategy,True,2,"MEPC 84-7-28 - Adopting the Net-Zero Framework to meet the ambition of the 2023 IMO GHG Strategy (Fiji, Kiribati, Nauru, Pa...).pdf | MEPC 84-7-33 - Assessment of fuel pathways to meet the levels of ambition of the2023 IMO GHG Strategy (INTERTANKO).pdf"
IMO,CII / EEXI / SEEMP,True,9,"MEPC 84-6-13 - ICS CII data collection - summary of 2024 results (ICS).pdf | MEPC 84-6-16 - Consideration of options for new CII metrics through the use of the IMO DCS and GFI data (Republic of Korea).pdf | MEPC 84-6-17 - Proposed amendments to the CII Guidelines, G1 and the 2024 SEEMP Guidelines to prevent uni... (Brazil, India, Republic o...).pdf | MEPC 84-6-20 - Further details of SEEMP-based approach (RINA).pdf | MEPC 84-6-21 - Further details of amendments to MARPOL Annex VI for the SEEMP-based approach (RINA).pdf"
IMO,MASS,True,15,MEPC 84-14-1 - Proposal for a new output to address maritime autonomous surface ships (MASS) in the instr... (China).pdf | MEPC 84-INF.39 - MASS technology implementation (Russian Federation).pdf | MSC 111-5-11 - Comments for consideration in the finalization of the MASS Code (United Kingdom).pdf | MSC 111-5-12 - Comments for consideration in the finalization of the MASS Code (United Kingdom).pdf | MSC 111-5-16 - Framework and methodology for the experience-building phase (EBP)  for the MASS Code (One Sea ry).pdf
MEPC,MEPC 80,False,0,
MEPC,MEPC 81,False,0,
MEPC,MEPC 82,False,0,
MEPC,MEPC 83,False,0,
MEPC,MEPC 84,True,203,"MEPC 84-10-1 - Comments on the outcome of PPR 13 and the importance of Member States notifying the Organi... (BIMCO).pdf | MEPC 84-10-2 - Comments on the draft amendments to the NOx Technical Code 2008 (IACS).pdf | MEPC 84-10-3 - International efforts to reduce emissions of Black Carbon (FOEI, WWF, Pacific Enviro...).pdf | MEPC 84-10-4 - Concept for an environmental standard using fuel-based compliance asa benchmark for EGCS d... (WWF and Pacific Environme...).pdf | MEPC 84-10 - Outcome of PPR 13 (Secretariat).pdf"
MSC,MSC 107,False,0,
MSC,MSC 108,False,0,
MSC,MSC 109,False,0,
MSC,MSC 110,True,2,MEPC 84-2-3 - Outcome of MSC 110 (Secretariat).pdf | MSC 111-8 - Developments since MSC 110 (Secretariat).pdf
MSC,MSC 111,True,105,"MSC 111-10 - Proposals for increasing the visibility of Formal Safety Assessment at IMO (IACS).pdf | MSC 111-11-1 - Analysis of financial costs associated with the LRIT system (Brazil).pdf | MSC 111-11-2 - Comments on document MSC 11111 (Canada).pdf | MSC 111-11-3 - Comments on documents MSC 11111, MSC 111111 and MSC 111INF.3 (Liberia).pdf | MSC 111-11 - Financial impact of free standard-rate position reports on the LRIT system (Angola, Bangladesh, Brazi...).pdf"
DNV,DNV documents,True,318,csr-h-01-jan-2024.pdf | DNV-CG-0004.pdf | DNV-CG-0036.pdf | DNV-CG-0037.pdf | DNV-CG-0038.pdf
KR,KR documents,True,73,1편_2025.pdf | 10편_2025.pdf | 11편_2014.pdf | 12편_2014.pdf | 13편_2025.pdf
TOPIC,Autonomous / MASS,True,17,RequirementsforAutonomousandRemoteControlFunctions-v4.pdf | MEPC 84-14-1 - Proposal for a new output to address maritime autonomous surface ships (MASS) in the instr... (China).pdf | MEPC 84-INF.39 - MASS technology implementation (Russian Federation).pdf | MSC 111-5-11 - Comments for consideration in the finalization of the MASS Code (United Kingdom).pdf | MSC 111-5-12 - Comments for consideration in the finalization of the MASS Code (United Kingdom).pdf
TOPIC,Environment / GHG / Energy,True,34,"MEPC 84-10-4 - Concept for an environmental standard using fuel-based compliance asa benchmark for EGCS d... (WWF and Pacific Environme...).pdf | MEPC 84-14-3 - Comments supporting the proposal for a new output on the implementation of the BBNJ Agreem... (WWF, Pacific Environment,...).pdf | MEPC 84-15-2 - Update on interagency cooperation relating to the protection of the marine environment (Secretariat).pdf | MEPC 84-1 - for the eighty-fourth session of the Marine Environment Protection Committee,to be held fr... (Secretary-General).pdf | MEPC 84-6-19 - Proposed amendments to the 2024 Guidelines on life cycle GHG intensity of marine fuels (20... (EUROMOT).pdf"
